anrede;vorname;nachname;strasse;nr;plz;ort;kanton;sprachregion;nationaliät;sexcode;mobile_nr;vertrag_nr;konto_nr;auth_device
Frau;Christine;Bovey;Impasse de Grandvau;17;1484;Aumont;FR;fr;Schweiz;w;+41777744852;20738;CH5300772030945823429;mtan
Herr;Daniel;Oberholzer;Im Grund;14;9410;Heiden;AR;de;Frankreich;m;+41778418554;31054;CH5300772828650625198;ptan
Frau;Elisabeth;Müller;Kantonsstrasse;118;6234;Triengen;LU;de;Italien ;w;+41777563803;48219;CH5300772210020319910;ptan
Herr;Peter;Steiner;Bertholdstrasse;14;6023;Rothenburg;LU;de;Schweiz;m;+41778496096;45058;CH5300772301663763217;ptan
Frau;Nathalie;Lequint;Sahli;30;1716;Oberschrot;FR;de;Frankreich;w;+41778813301;41946;CH5300772642434626944;ptan
Frau;Daniela;Hess;Bindlistrasse;3;9107;Urnäsch;AR;de;Bosnien;w;+41777195665;21668;CH5300772412232535555;mtan
Herr;Angelo;Müller;Int i Bairì;38;6702;Claro;TI;it;Schweiz;m;+41778688990;47922;CH5300772362120589267;ptan
Frau;Anne;Faigaux;Chemin du Petit-Sionnet;33;1254;Jussy;GE;fr;Frankreich;w;+41777578134;23089;CH5300772805907977077;ptan
Herr;Pascal;Carvalho;Chemin des Châtaigniers;33b;1292;Chambésy;GE;fr;Schweiz;m;+41777078233;38926;CH5300772708271446808;ptan
Herr;Nicolas;Solari;Chemin des Tattes;24;1222;Vésenaz;GE;fr;Frankreich;m;+41778893675;21967;CH5300772758020801714;ptan
Herr;Christian;Gerber;Graben;36;5000;Aarau;AG;de;Schweiz;m;+41778774435;23290;CH5300772130871080120;ptan
Herr;Josef;von Bergen;Kapellmatt;1;6103;Schwarzenberg LU;LU;de;Deutschland;m;+41778814001;46815;CH5300772636383415643;mtan
Herr;Marco;Casanova;Eichbühl;7;6246;Altishofen;LU;de;Italien ;m;+41778115566;42742;CH5300772033234963247;ptan
Frau;Marianne;Rossi;Sonnhalde;11;6212;St. Erhard;LU;de;Deutschland;w;+41777054090;21377;CH5300772356640513516;mtan
Herr;Nicolas;Golay;Avenue SORET;5;1203;Genève;GE;fr;Bosnien;m;+41777826332;30140;CH5300772015535464269;mtan
Herr;Walter;Pfister;Rosengartenstrasse;15;6280;Hochdorf;LU;de;Italien ;m;+41777297731;27840;CH5300772246105727175;ptan
Frau;Ursula;Schmid;Geretsweg;7;6037;Root;LU;de;Schweiz;w;+41777648880;33121;CH5300772634919422893;ptan
Frau;Rita;Bieri;Kommetsrüti;11;6110;Wolhusen;LU;de;Deutschland;w;+41777155467;33017;CH5300772330431816582;ptan
Frau;Elisabeth;Ademi;Obere Täschenstrasse;3a;9410;Heiden;AR;de;Frankreich;w;+41778818484;33375;CH5300772294733486073;ptan
Herr;Daniel;Rüegsegger;Sägholzstrasse;4;9038;Rehetobel;AR;de;Italien ;m;+41777678617;38782;CH5300772107780044587;mtan
Frau;Ursula;Müller;Scheideggstrasse;22;6045;Meggen;LU;de;Schweiz;w;+41778973808;34334;CH5300772668228813698;ptan
Herr;Michael;Brunner;Sonnenhofstrasse;23;6020;Emmenbrücke;LU;de;Schweiz;m;+41778264836;33105;CH5300772670977262999;mtan
Herr;Christian;Kalbermatter;Hirschengraben;7;6003;Luzern;LU;de;Schweiz;m;+41778774735;41573;CH5300772343154637966;mtan
Frau;Monika;Flury;Hauptstrasse;84;6260;Reiden;LU;de;Italien ;w;+41777553889;29090;CH5300772696141398694;ptan
Frau;Maria;Meier;Kohlhalden;54;9042;Speicher;AR;de;Italien ;w;+41778592900;34947;CH5300772299457480049;ptan
Frau;Bernadette;Meier;Unter Bendlehn;21;9042;Speicher;AR;de;Italien ;w;+41778687726;33947;CH5300772697579091262;ptan
Frau;Maria;Stampfli;Gasshofstrasse;14;6014;Luzern;LU;de;Schweiz;w;+41777278875;36232;CH5300772555025474511;ptan
Frau;Claudia;Bösch;Hauptstrasse;76;6260;Reiden;LU;de;Italien ;w;+41777875935;39454;CH5300772168557438078;ptan
Frau;Erika;Djuka;Hofstetterstrasse;7;6010;Kriens;LU;de;Schweiz;w;+41777773910;42680;CH5300772730968782580;ptan
Herr;Martin;Huber;Heidenerstrasse;33;9038;Rehetobel;AR;de;Italien ;m;+41777502515;23250;CH5300772500395539636;ptan
Herr;Thomas;Jost;Kantonsspital;45;6004;Luzern;LU;de;Schweiz;m;+41777364840;31036;CH5300772060805973912;mtan
Frau;Sandra;von Gunten;Weinbergstrasse;28;5000;Aarau;AG;de;Schweiz;w;+41778327962;33739;CH5300772328405590300;mtan
Herr;David;Adler;Route de Chancy;195;1232;Confignon;GE;fr;Schweiz;m;+41778943683;42735;CH5300772798219294249;ptan
Frau;Elisabeth;Stähli;Signalstrasse;23;5000;Aarau;AG;de;Schweiz;w;+41777493627;27491;CH5300772548495526320;mtan
Herr;Marco;Mignola;Via Barcone;48;6622;Ronco sopra Ascona;TI;it;Albanien;m;+41778854482;23026;CH5300772796474817622;ptan
Herr;Daniel;Fischer;Birli;85;9044;Wald AR;AR;de;Italien ;m;+41777506080;25382;CH5300772946742864604;ptan
Frau;Marie;Bezençon;Route de Moncor;13;1752;Villars-sur-Glâne;FR;fr;Bosnien;w;+41777535461;22619;CH5300772616583741186;ptan
Herr;Antonio;Da Silva;Chemin du Jonc;37h;1218;Le Grand-Saconnex;GE;fr;Schweiz;m;+41777283591;30216;CH5300772751841398793;ptan
Frau;Rita;Keller;Weierhaus;63;9064;Hundwil;AR;de;Albanien;w;+41777835144;43423;CH5300772065521581667;ptan
Frau;Elisabeth;Vassalli;Sagimatt;19;6218;Ettiswil;LU;de;Italien ;w;+41778863687;31077;CH5300772595670293780;ptan
Herr;Thomas;Meier;Schuelmatt;2;6018;Buttisholz;LU;de;Schweiz;m;+41777006906;25600;CH5300772340817986118;ptan
Herr;Stefan;Duschletta;Richensee;25;6285;Hitzkirch;LU;de;Italien ;m;+41778374756;35732;CH5300772210241339581;ptan
Frau;Doris;Meyer;Hirtenhofstrasse;62;6005;Luzern;LU;de;Schweiz;w;+41777023832;32604;CH5300772670922210678;mtan
Herr;Michael;Ochsner;Sattel;714;9428;Walzenhausen;AR;de;Finnland;m;+41778448757;32570;CH5300772915080085643;ptan
Herr;Luca;Vanoni;Salida di Fra;3;6814;Lamone;TI;it;Italien;m;+41778374683;31029;CH5300772665717644475;mtan
Herr;Andreas;Keller;Sonneggstrasse;7;9100;Herisau;AR;de;Albanien;m;+41778497997;21925;CH5300772178101062428;mtan
Herr;Michael;Meier;Widspüelmatte;3;6043;Adligenswil;LU;de;Schweiz;m;+41778716659;21402;CH5300772274463997203;ptan
Herr;Daniel;Arnold;Klein-Sennhof;;6126;Daiwil;LU;de;Deutschland;m;+41778714304;43334;CH5300772282463661049;ptan
Herr;Martin;Diggelmann;Zellersmüli;2807;9100;Herisau;AR;de;Kosovo;m;+41778228289;34380;CH5300772424773959210;ptan
Frau;Margrit;Müller;Blumenaustrasse;3;9410;Heiden;AR;de;Bosnien;w;+41777656855;26131;CH5300772660401568576;ptan
Frau;Ursula;Rusconi;Stift;17;6215;Beromünster;LU;de;Italien ;w;+41777794933;30547;CH5300772888830972643;mtan
Herr;Hans;Kissling;Rüediswilerstrasse;44;6017;Ruswil;LU;de;Schweiz;m;+41778765350;28004;CH5300772877145146000;ptan
Herr;Christian;Niggli;An der Wigger;1;6260;Reiden;LU;de;Italien ;m;+41777413283;30005;CH5300772009913824072;mtan
Frau;Sandra;Meier;Kehlhofrain;4;6043;Adligenswil;LU;de;Schweiz;w;+41777522892;31139;CH5300772451097696873;mtan
Frau;Marie;Muller;Bouley;23;1792;Guschelmuth;FR;de;Schweiz;w;+41778886706;33754;CH5300772606572454108;ptan
Herr;Markus;Müller;Thorenbergstrasse;42;6014;Luzern;LU;de;Schweiz;m;+41778427251;35574;CH5300772002782286841;ptan
Frau;Claudia;Frigerio;Oberer Graben;2;6210;Sursee;LU;de;Deutschland;w;+41778802913;27917;CH5300772704920320760;ptan
Frau;Elisabeth;Tschuor;Oberdorfstrasse;23;6247;Schötz;LU;de;Italien ;w;+41777943449;28038;CH5300772404671232672;ptan
Herr;Peter;Müller;Sonnenbergstrasse;40;6005;Luzern;LU;de;Schweiz;m;+41777403176;23010;CH5300772411888793341;ptan
Herr;Thomas;Nussbaum;Allmend;28;6023;Rothenburg;LU;de;Schweiz;m;+41778258501;33087;CH5300772962693711276;ptan
Herr;Luca;De Angelis;Seestrasse;;6207;Nottwil;LU;de;Deutschland;m;+41778753234;31190;CH5300772436110994682;ptan
Frau;Claudia;Liechti;Seetalstrasse;26;6020;Emmenbrücke;LU;de;Schweiz;w;+41778516826;26274;CH5300772137758191565;mtan
Herr;Peter;Stadelmann;Burgstalden;1;6114;Steinhuserberg;LU;de;Deutschland;m;+41778297517;48746;CH5300772501723114575;mtan
Frau;Manuela;Meier;Unterschwanden;13;6354;Vitznau;LU;de;Italien ;w;+41778955804;21295;CH5300772362211606641;ptan
Herr;Thomas;Schmid;Gaiserau;18;9056;Gais;AR;de;Albanien;m;+41778767762;35395;CH5300772489727875633;mtan
Herr;Martin;Keller;Alte Haslenstrasse;9;9053;Teufen AR;AR;de;Italien ;m;+41778878646;33438;CH5300772994286397158;ptan
Frau;Nicole;Buchli;Sagenbachmatt;2;6280;Hochdorf;LU;de;Italien ;w;+41777904406;27163;CH5300772594377642070;ptan
Herr;Michael;Stamm;Altstätterstrasse;5;9043;Trogen;AR;de;Italien ;m;+41777552208;40103;CH5300772612574803701;ptan
Herr;Franz;Albisser;Schiltmattstrasse;6;6048;Horw;LU;de;Deutschland;m;+41778502700;30032;CH5300772918261881166;ptan
Herr;Andreas;Moser;Herzogstrasse;43;5000;Aarau;AG;de;Schweiz;m;+41778242451;20278;CH5300772480841393471;ptan
Herr;Daniel;Bührer;Neuschwendi;10;9043;Trogen;AR;de;Italien ;m;+41778884101;46657;CH5300772128630488964;ptan
Frau;Giulia;Giottonini;Via la Torba;21;6690;Cavergno;TI;it;Italien;w;+41777063969;28231;CH5300772346095046240;ptan
Herr;Thomas;Camenisch;Unterlinggen;10;6275;Ballwil;LU;de;Italien ;m;+41777287780;21537;CH5300772637751619675;ptan
Frau;Andrea;Parpan;Oberdorf;31;6244;Nebikon;LU;de;Italien ;w;+41778756237;32250;CH5300772397250324497;mtan
Frau;Anna;Schreier;Staldenhof;10;6014;Luzern;LU;de;Schweiz;w;+41777433927;48816;CH5300772962534524205;ptan
Frau;Susanne;Baumann;Bergstrasse;10;9037;Speicherschwendi;AR;de;Italien ;w;+41778027938;38285;CH5300772745426448800;mtan
Herr;Thomas;Romano;Hofstatt;13;6233;Büron;LU;de;Italien ;m;+41778598568;25992;CH5300772496998267648;mtan
Frau;Sandra;Krasniqi;Rosengartenhalde;11;6006;Luzern;LU;de;Schweiz;w;+41778656050;41313;CH5300772135598024473;ptan
Herr;David;Schmid;Unterer Kapf;58;9405;Wienacht-Tobel;AR;de;Bosnien;m;+41777285630;35548;CH5300772323936757676;ptan
Frau;Karin;Cajacob;Oberi Wigger;2;6252;Dagmersellen;LU;de;Italien ;w;+41778746201;44627;CH5300772074053949610;ptan
Herr;Daniel;Gaud;Chemin Isaac-ANKEN;5;1219;Aïre;GE;fr;Frankreich;m;+41777567837;35675;CH5300772570674120321;ptan
Herr;Peter;Baumann;Neuhofweg;10;6045;Meggen;LU;de;Schweiz;m;+41778564806;41924;CH5300772857406471904;mtan
Frau;Ruth;Wullschleger;Sebaldematt;31;6018;Buttisholz;LU;de;Schweiz;w;+41777644105;23866;CH5300772477385682631;ptan
Herr;Daniel;Huber;Tannenbergstrasse;;6353;Weggis;LU;de;Italien ;m;+41777384546;31703;CH5300772425233647090;mtan
Herr;Andreas;Meier;Unterrechstein;291;9038;Rehetobel;AR;de;Italien ;m;+41777833772;47079;CH5300772876206722711;mtan
Herr;Michel;Diserens;Chemin du Grand-Communal;5a;1222;Vésenaz;GE;fr;Schweiz;m;+41777544161;43381;CH5300772111745065107;ptan
Herr;Daniel;Novelle;Route de la Farvadze;10;1666;Villars-sous-Mont;FR;fr;Frankreich;m;+41778645441;27367;CH5300772566178193447;ptan
Herr;Daniel;Oppedisano;Gossauerstrasse;2;9100;Herisau;AR;de;Kosovo;m;+41778847745;39766;CH5300772109862623170;ptan
Herr;Walter;Frohofer;Schützenberg;4;9055;Bühler;AR;de;Italien ;m;+41778155000;40067;CH5300772255115966749;ptan
Frau;Maria;Giroldelli;Via Bernardino Luini;4;6830;Chiasso;TI;it;Albanien;w;+41778382168;41010;CH5300772166503820243;ptan
Frau;Nicole;Brunner;Hauptstrasse;43;9053;Teufen AR;AR;de;Italien ;w;+41778066849;40690;CH5300772610808840604;ptan
Herr;Thomas;Müller;Hertensteinstrasse;59;6353;Weggis;LU;de;Italien ;m;+41777487097;32224;CH5300772615401218910;ptan
Herr;Markus;Emery;Friedberghöhe;19;6004;Luzern;LU;de;Schweiz;m;+41778765208;32990;CH5300772007171816381;mtan
Herr;Kaspar;Zurbuchen;Buechschachen;2236;9100;Herisau;AR;de;Kosovo;m;+41778028842;22886;CH5300772386041287242;mtan
Herr;Claudio;Arpagaus;Eichbühl;52;6246;Altishofen;LU;de;Italien ;m;+41777132056;30799;CH5300772374656160152;ptan
Frau;Monika;Käser;Dorf;6;6018;Buttisholz;LU;de;Schweiz;w;+41778335156;45669;CH5300772701071713977;ptan
Herr;Luca;Albin;Im Baumgarten;9;6252;Dagmersellen;LU;de;Italien ;m;+41777195943;31872;CH5300772137134837831;ptan
Herr;Hans;Mani;Zelglistrasse;37;5000;Aarau;AG;de;Schweiz;m;+41778697299;41731;CH5300772929653407874;ptan
Frau;Claudia;Giugliemma;Via Cügn;5;6883;Novazzano;TI;it;Schweiz;w;+41777223600;48535;CH5300772413118855939;mtan
Herr;Thomas;Keller;Zung Stoss;940;9056;Gais;AR;de;Albanien;m;+41778412230;30745;CH5300772092238595926;ptan
Herr;Martin;Herzog;Gibelhalde;16;9100;Herisau;AR;de;Kosovo;m;+41778325748;23658;CH5300772012049422417;mtan
Frau;Sandra;Grob;Steinrieselnstrasse;66;9100;Herisau;AR;de;Kosovo;w;+41778483747;38489;CH5300772115869999148;mtan
Herr;Peter;Weber;Herrenberg;51;6294;Ermensee;LU;de;Italien ;m;+41777765280;46694;CH5300772525267810569;ptan
Herr;Walter;Grossniklaus;Auensteinerstrasse;41;5023;Biberstein;AG;de;Schweiz;m;+41778376288;38857;CH5300772537347999622;ptan
Herr;Josef;Elmiger;Bachmatt;1;6143;Ohmstal;LU;de;Deutschland;m;+41778495104;48626;CH5300772357162541456;ptan
Herr;Markus;Caimi;Dorfstrasse;10;6211;Buchs LU;LU;de;Deutschland;m;+41778987342;48008;CH5300772343907893645;ptan
Herr;Andreas;Weber;Chreitobel;86;9035;Grub AR;AR;de;Italien ;m;+41777695477;37757;CH5300772087062233421;mtan
Herr;Martin;Kohler;Schönfeld;1;6034;Inwil;LU;de;Schweiz;m;+41777853354;21109;CH5300772670538222011;ptan
Herr;Marco;Gendotti;Bahnstrasse;10;6208;Oberkirch LU;LU;de;Deutschland;m;+41778268955;34255;CH5300772426449906514;mtan
Herr;Alessandro;Del Ponte;Seeallee;;6204;Sempach;LU;de;Deutschland;m;+41777002148;21253;CH5300772787659003468;mtan
Herr;Christian;Krasniqi;Holderenstrasse;1;9038;Rehetobel;AR;de;Italien ;m;+41778605918;36284;CH5300772584507622545;ptan
Frau;Elisabeth;Piccoli;Via Valeggia;1;6912;Pazzallo;TI;it;Italien;w;+41778767562;47835;CH5300772259071840383;ptan
Herr;Andreas;Bianchi;Kirchweg;11;6221;Rickenbach LU;LU;de;Italien ;m;+41778004935;36974;CH5300772802218308150;ptan
Frau;Isabelle;Magnin;Chemin Général-Castella;2;1630;Bulle;FR;fr;Frankreich;w;+41778093834;45570;CH5300772979277500126;ptan
Frau;Sandra;Müller;Industriestrasse;20;6102;Malters;LU;de;Deutschland;w;+41777874041;34935;CH5300772434065041077;ptan
Herr;Martin;Foresti;Schützengasse;27;9410;Heiden;AR;de;Frankreich;m;+41777147818;22625;CH5300772921389613777;ptan
Frau;Ursula;Müller;Bühlrain;34;5000;Aarau;AG;de;Schweiz;w;+41778896599;45824;CH5300772473448335386;ptan
Herr;Thomas;Frey;Oberfeldstrasse;11;6037;Root;LU;de;Schweiz;m;+41777517760;40708;CH5300772416603552745;mtan
Frau;Isabelle;Viladoms;Route d'Autafond;14;1782;Belfaux;FR;fr;Albanien;w;+41777854213;48182;CH5300772447600601036;mtan
Frau;Patricia;Locatelli;Chemin des Verjus;135;1212;Grand-Lancy;GE;fr;Schweiz;w;+41777083430;27690;CH5300772396523319452;ptan
Frau;Brigitte;Wetzel;Zihlmattweg;11;6005;Luzern;LU;de;Schweiz;w;+41778303254;34014;CH5300772082081343208;mtan
Frau;Olivia;Berger;Route des Fruitiers;23;1745;Lentigny;FR;fr;Schweiz;w;+41777508755;40637;CH5300772867350158402;ptan
Herr;Stefano;Pellanda;Spillgässli;4;6205;Eich;LU;de;Deutschland;m;+41777962597;25095;CH5300772899129480485;ptan
Frau;Brigitte;Schoch;Burg;2253;9100;Herisau;AR;de;Kosovo;w;+41777946917;32483;CH5300772859418145300;ptan
Frau;Marie;Besmer;Dorfstrasse;4;6044;Udligenswil;LU;de;Schweiz;w;+41778423092;38259;CH5300772103551870399;ptan
Herr;Alessandro;Bagnovini;Via Retagn da Sota;33;6803;Camignolo;TI;it;Italien;m;+41778455129;31153;CH5300772287887307356;ptan
Frau;Marie;Knutti;Pelzgasse;6;5000;Aarau;AG;de;Schweiz;w;+41778835298;44359;CH5300772594640588706;ptan
Herr;Martin;Knecht;Buechwäldlistrasse;10;6106;Werthenstein;LU;de;Deutschland;m;+41778136994;39620;CH5300772685898804905;ptan
Frau;Monika;Schmid;Sonnenterrasse;24;6030;Ebikon;LU;de;Schweiz;w;+41778036008;33017;CH5300772725163030894;ptan
Frau;Maria;Flütsch;Beim Kreuz;1;6262;Langnau b. Reiden;LU;de;Italien ;w;+41777376613;38154;CH5300772082189700155;mtan
Herr;Beat;Bucher;Altsagenring;3;6048;Horw;LU;de;Deutschland;m;+41778872372;20482;CH5300772083012966251;ptan
Herr;Christian;Beeler;Almendsberg;620;9428;Walzenhausen;AR;de;Kroatien;m;+41777473152;40740;CH5300772322516672928;mtan
Herr;Peter;Weber;Neuhofweg;12;6045;Meggen;LU;de;Schweiz;m;+41777175500;31789;CH5300772973727061331;mtan
Frau;Monika;Cortesi;Dorfstrasse;28;6280;Urswil;LU;de;Italien ;w;+41778134765;43328;CH5300772244885843733;ptan
Herr;Daniel;Schwarb;Adligenswilerstrasse;35;6006;Luzern;LU;de;Schweiz;m;+41778142176;46310;CH5300772644779334663;ptan
Frau;Margrit;Cremini;Via Pizzuolo;25;6862;Rancate;TI;it;Schweiz;w;+41777897949;29556;CH5300772501967847481;ptan
Frau;Sandra;Wirz;Matthofring;7;6005;Luzern;LU;de;Schweiz;w;+41777863170;41752;CH5300772652612823325;ptan
Herr;Giuseppe;Vanetti;Via Virano;5b;6814;Cadempino;TI;it;Italien;m;+41777498261;29414;CH5300772641233136689;mtan
Herr;Daniel;Werder;Fildernstrasse;17;6030;Ebikon;LU;de;Schweiz;m;+41778724864;30268;CH5300772486011197694;ptan
Herr;Julien;Rochat;Impasse du Parimbot;1;1673;Ecublens FR;FR;fr;Schweiz;m;+41777042622;48431;CH5300772755474366820;ptan
Frau;Rita;Zihlmann;Stegenhalde;56;6048;Horw;LU;de;Deutschland;w;+41777366862;36454;CH5300772094968298953;ptan
Herr;Peter;Sager;Hauptstrasse;53;6045;Meggen;LU;de;Schweiz;m;+41778216165;20982;CH5300772316378309901;ptan
Herr;Hans;Schaub;Obere Weinhalde;57;6010;Kriens;LU;de;Schweiz;m;+41778832221;33956;CH5300772428368276601;ptan
Herr;Giovanni;Giger;Stermel;4;6252;Dagmersellen;LU;de;Italien ;m;+41777698568;34449;CH5300772385849223548;mtan
Frau;Sandra;Dazzi;Via Magni-Artisti;11;6874;Castel San Pietro;TI;it;Schweiz;w;+41777446348;25701;CH5300772305916846304;ptan
Frau;Maria;Pittet;Route de l'Aéroport;3;1215;Genève 15 Aéroport;GE;fr;Frankreich;w;+41777644782;27774;CH5300772659632459325;mtan
Herr;Michael;Bucher;Kreuzbuchstrasse;152;6045;Meggen;LU;de;Schweiz;m;+41778794077;41411;CH5300772154762249407;mtan
Herr;Pierre;Berthoud;Rue du Tsantê;6;1663;Pringy;FR;fr;Italien;m;+41777977406;39079;CH5300772537927162434;ptan
Frau;Claudia;Keller;Reckenbühlstrasse;9;6005;Luzern;LU;de;Schweiz;w;+41778413795;47365;CH5300772263746744573;ptan
Frau;Andrea;Aeschlimann;Seetalstrasse;20;6020;Emmenbrücke;LU;de;Schweiz;w;+41777215576;47378;CH5300772803641857555;ptan
Frau;Ruth;Andenmatten;Birkenweg;5;5033;Buchs AG;AG;de;Schweiz;w;+41777477244;45804;CH5300772607524475235;ptan
Frau;Daniela;Schuler;Büelti;;6170;Schüpfheim;LU;de;Deutschland;w;+41777542886;24833;CH5300772250568383737;mtan
Frau;Francesca;Gisler;Im Bienz;26;6170;Schüpfheim;LU;de;Deutschland;w;+41778615457;26839;CH5300772982654987322;ptan
Herr;Christian;Ehrat;Speicherstrasse;16;9043;Trogen;AR;de;Italien ;m;+41778894668;28326;CH5300772861526785607;mtan
Frau;Nina;Müller;Feldhaus;10;6274;Eschenbach LU;LU;de;Italien ;w;+41777432048;24374;CH5300772675501974841;mtan
Frau;Anna;Rezzonico;Dorfstrasse;30;6222;Gunzwil;LU;de;Italien ;w;+41777482976;41192;CH5300772372038399656;ptan
Herr;Daniel;Brunner;Rigistrasse;12;6033;Buchrain;LU;de;Schweiz;m;+41777154545;35956;CH5300772103628142354;ptan
Herr;Walter;Bucher;Herrenwaldstrasse;9;6122;Menznau;LU;de;Deutschland;m;+41777845038;38243;CH5300772062656758304;ptan
Herr;Walter;Gisler;Steiwurf;2;6170;Schüpfheim;LU;de;Deutschland;m;+41778175710;29238;CH5300772702622321117;ptan
Frau;Claudia;Peng;Nebikerstrasse;30;6247;Schötz;LU;de;Italien ;w;+41777638345;24821;CH5300772934306518918;ptan
Herr;Martin;Keller;Steinrüti;496;9107;Urnäsch;AR;de;Bosnien;m;+41778073560;26746;CH5300772672502554724;ptan
Frau;Sandra;Marolf;Unterwaldstatt;5;9104;Waldstatt;AR;de;Bosnien;w;+41778013054;25287;CH5300772826918742327;ptan
Frau;Claudia;Franconi;Schartenmatt;;6196;Marbach LU;LU;de;Deutschland;w;+41777394141;44127;CH5300772793300560713;mtan
Herr;Alexandre;Lacombe;Route de la Cité-des-Jardins;13;1700;Fribourg;FR;fr;Frankreich;m;+41778413806;48346;CH5300772690728971067;mtan
Frau;Margrit;Suter;Ebnetrain;18;6045;Meggen;LU;de;Schweiz;w;+41777808978;23032;CH5300772119215131914;ptan
Herr;Stefano;Canepa;Badstrasse;19b;6210;Sursee;LU;de;Deutschland;m;+41777226208;37446;CH5300772033360109376;mtan
Herr;Christian;Meier;Untergeissenstein;2;6005;Luzern;LU;de;Schweiz;m;+41777728303;37091;CH5300772762164775912;ptan
Frau;Anita;Obrist;Rütimattrain;6;6030;Ebikon;LU;de;Schweiz;w;+41778003589;26904;CH5300772050264234164;ptan
Frau;Marianne;Thönen;Torfeldstrasse;17;5000;Aarau;AG;de;Schweiz;w;+41777567065;38866;CH5300772481066770744;ptan
Herr;Peter;Huber;Dorfstrasse;7;6030;Ebikon;LU;de;Schweiz;m;+41777146214;48925;CH5300772578694314962;ptan
Herr;Olivier;Steffen;Chemin De-MAISONNEUVE;12a;1219;Châtelaine;GE;fr;Frankreich;m;+41777434527;39654;CH5300772553272440814;ptan
Herr;Laurent;Prezioso;Mühleweg;40;3280;Murten;FR;de;Schweiz;m;+41778394722;24695;CH5300772210795877291;ptan
Herr;Stefan;Roth;Josef-Schryberstrasse;9;6010;Kriens;LU;de;Schweiz;m;+41778207777;46993;CH5300772588524572167;ptan
Herr;Daniel;Pauen;Chemin des Jonchets;10;1243;Presinge;GE;fr;Schweiz;m;+41778756030;34159;CH5300772654408725198;ptan
Frau;Anna;Scherer;Luthernmatte;1;6142;Gettnau;LU;de;Deutschland;w;+41778282472;34683;CH5300772417770379687;mtan
Frau;Monika;Müller;Oberseeburg;22;6006;Luzern;LU;de;Schweiz;w;+41778497092;40432;CH5300772683501838554;ptan
Herr;Hans;Müller;Bellisplatz;690;9107;Urnäsch;AR;de;Bosnien;m;+41777328133;42717;CH5300772751997932187;mtan
Frau;Silvia;Eng;Chäppelirain;4;6018;Buttisholz;LU;de;Schweiz;w;+41778942556;47615;CH5300772485281267175;mtan
Herr;Josef;Rohrer;Schlettern;3a;6103;Schwarzenberg LU;LU;de;Deutschland;m;+41777564782;21819;CH5300772655672553112;ptan
Herr;Martin;Imhof;Heinrich Wehrli-Strasse;5;5033;Buchs AG;AG;de;Schweiz;m;+41778774626;40647;CH5300772776749626096;ptan
Herr;Stefan;Kronig;Bahnstrasse;23;5033;Buchs AG;AG;de;Schweiz;m;+41778053718;47998;CH5300772329487423058;ptan
Herr;Marco;Müller;Mühlerainweg;5;6146;Grossdietwil;LU;de;Deutschland;m;+41777928740;40355;CH5300772989683331142;ptan
Frau;Sandra;Kuster;Mittelbissaustrasse;8;9410;Heiden;AR;de;Frankreich;w;+41778796351;34249;CH5300772311561973042;mtan
Herr;Daniel;Imwinkelried;Hinterbramberg;4;6004;Luzern;LU;de;Schweiz;m;+41777298283;41534;CH5300772012012479945;ptan
Herr;Marco;Cerini;Schürmatte;9;6204;Sempach;LU;de;Deutschland;m;+41777402095;21317;CH5300772712099462222;mtan
Frau;Monica;Lindauer;Heiligkreuzstrasse;13;6166;Hasle LU;LU;de;Deutschland;w;+41778365754;44259;CH5300772258075471490;mtan
Herr;Christian;Meier;Dieboldswil;31;6236;Wilihof;LU;de;Italien ;m;+41777284341;46132;CH5300772437972304838;ptan
Herr;Alessandro;Porta;Monti di Incella;;6614;Brissago;TI;it;Italien;m;+41777966173;40699;CH5300772195993085435;ptan
Frau;Christine;Munier;Impasse de la Forêt;24;1700;Fribourg;FR;fr;Schweiz;w;+41778844494;44026;CH5300772090589523184;ptan
Frau;Maria;Lambelet;Pfandmattstrasse;51;1714;Heitenried;FR;de;Schweiz;w;+41777753923;44589;CH5300772693919698871;ptan
Herr;Giuseppe;Santini;Monti di Ravecchia;;6500;Bellinzona;TI;it;Italien;m;+41777356286;38220;CH5300772746593817279;ptan
Frau;Claudia;Müller;Dorfstrasse;14;6236;Wilihof;LU;de;Italien ;w;+41778316671;46103;CH5300772251531351130;ptan
Frau;Claudia;Leutenegger;Hebrig;467;9056;Gais;AR;de;Albanien;w;+41777386902;21874;CH5300772330950448411;ptan
Herr;Hans;Siegenthaler;Staufbergstrasse;26;5000;Aarau;AG;de;Schweiz;m;+41777703078;40392;CH5300772408937080019;mtan
Frau;Elisabeth;Bärtschi;Wannweid;1;6022;Grosswangen;LU;de;Schweiz;w;+41777952886;37027;CH5300772528781483901;mtan
Frau;Elena;Zambelli;Via Brughiera;4;6598;Tenero;TI;it;Schweiz;w;+41778548233;40158;CH5300772298720620522;ptan
Frau;Margrit;Birrer;Im Schmitteli;5a;6110;Wolhusen;LU;de;Deutschland;w;+41777162380;39699;CH5300772263267856197;mtan
Frau;Sandra;Meier;Spittel;3;9100;Herisau;AR;de;Albanien;w;+41777757950;34652;CH5300772849385638198;ptan
Frau;Ursula;Anderegg;Burgweg;7;6014;Luzern;LU;de;Schweiz;w;+41778393256;29045;CH5300772629188585686;ptan
Herr;Fabio;Salmina;Via Scuole;17;6713;Malvaglia;TI;it;Italien;m;+41777498187;46770;CH5300772442258199592;ptan
